Asset,Time Period,Length of Return,Candle Pattern,Value,Avg % Return Following Pattern,Avg % Return In General,Avg Volume Following Pattern,Avg Volume In General,p-value Returns,p-value Volume,Occurrences
SPY,5y,1,Two Crows,100,,0.8339,,82110944,,,0
SPY,5y,1,Three Black Crows,100,,0.8339,,82110944,,,0
SPY,5y,1,Three Inside Up/Down,-100,0.0987,0.0684,97605780.0,81504544,0.94,0.17,15
SPY,5y,1,Three Inside Up/Down,100,0.1043,0.0659,68669017.0,81848265,0.87,0.18,12
SPY,5y,1,Three-Line Strike,-100,2.5697,0.0635,93168200.0,81728497,1.0,1.0,1
SPY,5y,1,Three-Line Strike,-200,,0.0617,,81761916,,,0
SPY,5y,1,Three-Line Strike,100,0.1904,0.0609,62040400.0,81763310,1.0,1.0,1
SPY,5y,1,Three-Line Strike,200,,0.0617,,81761916,,,0
SPY,5y,1,Three Outside Up/Down,-100,0.5047,0.0493,94727438.0,81472650,0.02,0.29,21
SPY,5y,1,Three Outside Up/Down,100,-0.2983,0.0618,81668265.0,81835407,0.07,0.98,20
SPY,5y,1,Three Stars In The South,100,,0.0617,,81761916,,,0
SPY,5y,1,Three Advancing White Soldiers,100,0.3706,0.0618,75674700.0,81783540,0.45,0.81,4
SPY,5y,1,Abandoned Baby,-100,,0.0617,,81761916,,,0
SPY,5y,1,Abandoned Baby,100,,0.0617,,81761916,,,0
SPY,5y,1,Advance Block,100,,0.0617,,81761916,,,0
SPY,5y,1,Belt-hold,-100,0.1314,0.0666,84464934.0,81536344,0.64,0.45,79
SPY,5y,1,Belt-hold,100,0.2571,0.0666,73955627.0,82236586,0.14,0.02,108
SPY,5y,1,Breakaway,-100,0.6341,0.0611,61595400.0,81745544,1.0,1.0,1
SPY,5y,1,Breakaway,100,,0.0617,,81761916,,,0
SPY,5y,1,Closing Marubozu,-100,0.2852,0.046,102801452.0,80027894,0.36,0.0,73
SPY,5y,1,Closing Marubozu,100,0.1523,0.0685,79491150.0,81638412,0.46,0.53,143
SPY,5y,1,Concealing Baby Swallow,100,,0.0617,,81761916,,,0
SPY,5y,1,Counterattack,-100,0.6788,0.0588,113219100.0,81739871,0.6,0.75,2
SPY,5y,1,Counterattack,100,-0.4834,0.0632,81719425.0,81786823,0.06,1.0,4
SPY,5y,1,Dark Cloud Cover,100,,0.0617,,81761916,,,0
SPY,5y,1,Doji,100,-0.0118,0.0456,78649997.0,82387869,0.57,0.3,162
SPY,5y,1,Doji Star,-100,0.3032,0.0609,64271932.0,82125308,0.23,0.01,19
SPY,5y,1,Doji Star,100,0.0303,0.0623,77797988.0,81751397,0.88,0.51,16
SPY,5y,1,Dragonfly Doji,100,0.0784,0.0585,61227650.0,82033326,0.9,0.0,24
SPY,5y,1,Engulfing Pattern,-100,0.4625,0.0627,78629460.0,81686114,0.08,0.59,50
SPY,5y,1,Engulfing Pattern,100,0.1961,0.0663,79891595.0,81920727,0.61,0.68,39
SPY,5y,1,Evening Doji Star,100,,0.0617,,81761916,,,0
SPY,5y,1,Evening Star,100,,0.0617,,81761916,,,0
SPY,5y,1,Up/Down-gap side-by-side white lines,-100,,0.0617,,81761916,,,0
SPY,5y,1,Up/Down-gap side-by-side white lines,100,0.0549,0.0637,86428875.0,81796255,0.98,0.79,4
SPY,5y,1,Gravestone Doji,100,-0.1282,0.0614,82034507.0,81692244,0.67,0.98,15
SPY,5y,1,Hammer,100,-0.1461,0.056,72451247.0,81891440,0.43,0.16,17
SPY,5y,1,Hanging Man,100,,0.0617,,81761916,,,0
SPY,5y,1,Harami Pattern,-100,-0.0458,0.0682,84963538.0,81725800,0.57,0.6,52
SPY,5y,1,Harami Pattern,100,0.2325,0.0565,77398633.0,82014046,0.4,0.44,39
SPY,5y,1,Harami Cross Pattern,100,0.075,0.0608,80548183.0,81911874,0.98,0.89,12
SPY,5y,1,High-Wave Candle,100,-0.265,0.0561,91326294.0,81286499,0.06,0.13,77
SPY,5y,1,Hikkake Pattern,-100,0.0056,0.0554,73322346.0,82355107,0.76,0.1,50
SPY,5y,1,Hikkake Pattern,-200,-0.5313,0.0559,107614525.0,81708641,0.22,0.0,8
SPY,5y,1,Hikkake Pattern,100,0.0579,0.069,89272866.0,81462661,0.98,0.39,38
SPY,5y,1,Hikkake Pattern,200,0.1289,0.0595,64984477.0,81893232,0.78,0.02,13
SPY,5y,1,Modified Hikkake Pattern,-100,-0.1455,0.0609,103679700.0,81749643,1.0,1.0,1
SPY,5y,1,Modified Hikkake Pattern,-200,,0.0617,,81761916,,,0
SPY,5y,1,Modified Hikkake Pattern,100,,0.0617,,81761916,,,0
SPY,5y,1,Modified Hikkake Pattern,200,,0.0617,,81761916,,,0
SPY,5y,1,Homing Pigeon,100,0.1831,0.0599,72748994.0,81865427,0.67,0.28,16
SPY,5y,1,Identical Three Crows,100,,0.0617,,81761916,,,0
SPY,5y,1,In-Neck Pattern,-100,-0.39,0.0618,80721475.0,81770764,0.13,0.93,4
SPY,5y,1,In-Neck Pattern,100,,0.0617,,81761916,,,0
SPY,5y,1,Inverted Hammer,100,0.3419,0.0533,84102242.0,81727819,0.32,0.77,26
SPY,5y,1,Kicking,-100,,0.0617,,81761916,,,0
SPY,5y,1,Kicking,100,,0.0617,,81761916,,,0
SPY,5y,1,Kicking - bull/bear determined by the longer marubozu,-100,,0.0617,,81761916,,,0
SPY,5y,1,Kicking - bull/bear determined by the longer marubozu,100,,0.0617,,81761916,,,0
SPY,5y,1,Ladder Bottom,100,-1.1378,0.064,94804700.0,81717621,0.42,0.57,2
