Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001954,Female,Yes,1,Graduate,No,4666,0,4.905274778,360,1,Urban,Y
LP001401,Male,Yes,1,Graduate,No,14583,0,5.220355825,180,1,Rural,Y
LP002004,Male,No,0,Not Graduate,No,2927,2405,4.709530201,360,1,Semiurban,Y
LP002305,Female,No,0,Graduate,No,4547,0,4.744932128,360,1,Semiurban,Y
LP002314,Female,No,0,Not Graduate,No,2213,0,4.189654742,360,1,Rural,Y
LP001504,Male,No,0,Graduate,Yes,6950,0,5.164785974,180,1,Semiurban,Y
LP002690,Male,No,0,Graduate,No,2500,0,4.007333185,360,1,Semiurban,Y
LP002868,Male,Yes,2,Graduate,No,3159,461,4.682131227,84,1,Urban,Y
LP001603,Male,Yes,0,Not Graduate,Yes,4344,736,4.465908119,360,1,Semiurban,N
LP002798,Male,Yes,0,Graduate,No,3887,2669,5.087596335,360,1,Semiurban,Y
LP001914,Male,Yes,0,Graduate,No,3927,800,4.718498871,360,1,Semiurban,Y
LP002160,Male,Yes,3,Graduate,No,5167,3167,5.298317367,360,1,Semiurban,Y
LP001656,Male,No,0,Graduate,No,12000,0,5.099866428,360,1,Semiurban,N
LP001370,Male,No,0,Not Graduate,No,7333,0,4.787491743,360,1,Rural,N
LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449,5.105945474,180,0,Rural,N
LP002847,Male,Yes,0,Graduate,No,5116,1451,5.105945474,360,0,Urban,N
LP001114,Male,No,0,Graduate,No,4166,7210,5.214935758,360,1,Urban,Y
LP001713,Male,Yes,1,Graduate,Yes,7787,0,5.480638923,360,1,Urban,Y
LP002615,Male,Yes,2,Graduate,No,4865,5624,5.33753808,360,1,Semiurban,Y
LP001843,Male,Yes,1,Not Graduate,No,2661,7101,5.631211782,180,1,Semiurban,Y
LP001736,Male,Yes,0,Graduate,No,2221,0,4.094344562,360,0,Urban,N
LP002571,Male,No,0,Not Graduate,No,3691,0,4.700480366,360,1,Rural,Y
LP002541,Male,Yes,0,Graduate,No,10833,0,5.455321115,360,1,Semiurban,Y
LP001266,Male,Yes,1,Graduate,Yes,2395,0,4.852030264,360,1,Semiurban,Y
LP001002,Male,No,0,Graduate,No,5849,0,4.852030264,360,1,Urban,Y
LP001945,Female,No,0,Graduate,No,5417,0,4.96284463,480,0,Urban,N
LP001087,Female,No,2,Graduate,No,3750,2083,4.787491743,360,1,Semiurban,Y
LP001633,Male,Yes,1,Graduate,No,6400,7250,5.192956851,360,0,Urban,N
LP001391,Male,Yes,0,Not Graduate,No,3572,4114,5.023880521,360,0,Rural,N
LP001574,Male,Yes,0,Graduate,No,3707,3166,5.204006687,360,1,Rural,Y
LP001267,Female,Yes,2,Graduate,No,1378,1881,5.117993812,360,1,Urban,N
LP002916,Male,Yes,0,Graduate,No,2297,1522,4.644390899,360,1,Urban,Y
LP002560,Male,No,0,Not Graduate,No,2699,2785,4.564348191,360,1,Semiurban,Y
LP001677,Male,No,2,Graduate,No,4923,0,5.111987788,360,0,Semiurban,Y
LP002487,Male,Yes,0,Graduate,No,3015,2188,5.030437921,360,1,Rural,Y
LP001543,Male,Yes,1,Graduate,No,9538,0,5.231108617,360,1,Urban,Y
LP001027,Male,Yes,2,Graduate,No,2500,1840,4.691347882,360,1,Urban,Y
LP001894,Male,Yes,0,Graduate,No,2620,2223,5.010635294,360,1,Semiurban,Y
LP001674,Male,Yes,1,Not Graduate,No,2600,2500,4.49980967,360,1,Semiurban,Y
LP002006,Female,No,0,Graduate,No,2507,0,4.025351691,360,1,Rural,Y
LP002114,Female,No,0,Graduate,No,4160,0,4.262679877,360,1,Semiurban,Y
LP002190,Male,Yes,1,Graduate,No,6325,0,5.164785974,360,1,Semiurban,Y
